"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"carnitine metabolic process [GO:0009437]",3,0.9999,0.80642,1,0.00010183,0.19368,0.55198,0.00020366,0.29817,0.72249,0,NA,NA,NA,3,0.00020366,0.30537,0.81432
"hydrogen peroxide catabolic process [GO:0042744]",5,0.59636,0.056294,0.33158,0.40364,0.94381,1,0.16205,0.91161,0.9999,2,0.19345,0.67743,1,3,0.14111,0.92741,1
"phospholipid biosynthetic process [GO:0008654]",4,0.75,0.30417,0.9679,0.25,0.69653,1,4.5813e-08,0.11119,0.35024,1,1e-100,0.48305,0.92395,3,6.1085e-08,0.18728,0.58406
"ceramide biosynthetic process [GO:0046513]",10,0.94259,0.79592,1,0.057413,0.20418,0.55198,0.11397,0.90351,0.9999,1,0.99571,1,1,9,0.015997,0.42126,0.89094
"plasma membrane organization [GO:0007009]",5,0.99901,0.88641,1,0.00098628,0.11369,0.39791,0.0019726,0.22518,0.59942,0,NA,NA,NA,5,0.0019726,0.25387,0.71866
"chitin biosynthetic process [GO:0006031]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
"phosphatidylethanolamine biosynthetic process [GO:0006646]",5,0.69924,0.15828,0.61052,0.30076,0.84182,1,0.19848,0.957,0.9999,2,0.49619,0.94461,1,3,6.1085e-08,0.18728,0.58406
"chorismate biosynthetic process [GO:0009423]",6,1,1,1,1e-100,0.0042996,0.050789,1e-100,0.0024998,0.024866,0,NA,NA,NA,6,1e-100,0.0017998,0.01743
"propionate catabolic process, 2-methylcitrate cycle [GO:0019629]",3,0.66596,0.17278,0.63091,0.33404,0.82842,1,0.0014147,0.37376,0.80473,1,1e-100,0.48305,0.92395,2,0.002122,0.54555,0.97913
"lipid storage [GO:0019915]",3,0.92953,0.43256,1,0.070472,0.56754,0.90983,0.14094,0.86081,0.9999,0,NA,NA,NA,3,0.14094,0.92711,1
"triglyceride biosynthetic process [GO:0019432]",4,0.71563,0.14239,0.56064,0.28437,0.85771,1,0.14267,0.88141,0.9999,1,0.14785,0.76452,1,3,0.14094,0.92711,1
"CTP biosynthetic process [GO:0006241]",11,0.97886,0.87741,1,0.021143,0.12269,0.41407,0.042286,0.52415,0.89524,0,NA,NA,NA,11,0.042286,0.67363,1
