"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"aspartic-type endopeptidase activity [GO:0004190]",8,0.40205,0.089491,0.71119,0.59795,0.91061,1,0.15173,0.0012999,0.22948,5,0.16466,0.018498,0.75226,3,0.13019,0.025997,0.60927
"proteolysis [GO:0006508]",75,0.6048,0.87461,1,0.3952,0.12549,0.42197,0.38407,0.39486,0.9995,27,0.43565,0.66143,0.9993,48,0.35505,0.27057,0.91962
"sister chromatid cohesion [GO:0007062]",5,0.49366,0.31997,1,0.50634,0.68013,0.99421,0.40268,0.55214,0.9995,3,0.49165,0.68983,0.9993,2,0.26921,0.34147,0.92896
"mitotic sister chromatid cohesion [GO:0007064]",6,0.53938,0.41856,1,0.46062,0.58154,0.91838,0.47836,0.78562,0.9995,3,0.55713,0.79982,0.9993,3,0.3996,0.57114,0.99764
"phosphatidylinositol-3-phosphate binding [GO:0032266]",18,0.49167,0.18118,0.87962,0.50833,0.81892,1,0.52034,0.974,0.9995,8,0.44164,0.61564,0.9993,10,0.58331,0.9896,0.9998
"bounding membrane of organelle [GO:0098588]",10,0.63997,0.76132,1,0.36003,0.23878,0.62628,0.36531,0.39126,0.9995,3,0.40874,0.50565,0.9993,7,0.34669,0.38926,0.94469
"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",20,0.49924,0.19008,0.87962,0.50076,0.81002,1,0.37409,0.39146,0.9995,11,0.42961,0.58054,0.9993,9,0.30623,0.20708,0.89279
"hydrolase activity, acting on glycosyl bonds [GO:0016798]",24,0.52676,0.28957,0.98683,0.47324,0.71053,1,0.38133,0.42486,0.9995,12,0.43486,0.61184,0.9993,12,0.32781,0.25917,0.91962
"polysaccharide catabolic process [GO:0000272]",7,0.61995,0.66193,1,0.38005,0.33817,0.7247,0.35908,0.38086,0.9995,2,0.29822,0.34037,0.9993,5,0.38343,0.53765,0.98479
"carbohydrate metabolic process [GO:0005975]",39,0.54068,0.33457,1,0.45932,0.66553,0.98225,0.325,0.060494,0.67724,19,0.39074,0.38176,0.9993,20,0.26254,0.018898,0.56985
