"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"methyltransferase activity [GO:0008168]",72,0.49234,0.025197,0.31828,0.50766,0.9749,1,0.3879,0.9934,1,39,0.42085,0.9666,1,33,0.34897,0.90211,1
"S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]",15,0.52525,0.29727,0.93451,0.47475,0.70283,1,0.38083,0.84682,1,6,0.28917,0.35926,1,9,0.44193,0.953,1
"protein-lysine N-methyltransferase activity [GO:0016279]",12,0.47688,0.17468,0.80526,0.52312,0.82542,1,0.45102,0.9564,1,5,0.28575,0.37186,1,7,0.56908,0.9947,1
"methylation [GO:0032259]",67,0.49742,0.034897,0.38163,0.50258,0.9652,1,0.40938,0.998,1,36,0.44559,0.987,1,31,0.36732,0.94851,1
"mRNA binding [GO:0003729]",85,0.65322,0.9749,1,0.34678,0.025197,0.15795,0.33538,0.83632,1,26,0.41453,0.91931,1,59,0.3005,0.66393,1
"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]",24,0.59726,0.60304,1,0.40274,0.39706,0.76011,0.24387,0.12939,0.7075,11,0.38733,0.72873,1,13,0.12249,0.0039996,0.13211
"cytosolic large ribosomal subunit [GO:0022625]",46,0.64763,0.90231,1,0.35237,0.09779,0.32906,0.38126,0.9653,1,17,0.56234,0.9989,1,29,0.27511,0.41956,1
"metalloendopeptidase activity [GO:0004222]",15,0.70598,0.91401,1,0.29402,0.086091,0.30379,0.19765,0.051195,0.4957,4,0.26802,0.34457,1,11,0.17206,0.063994,0.48425
"metallopeptidase activity [GO:0008237]",33,0.59548,0.61404,1,0.40452,0.38606,0.75353,0.24507,0.087091,0.6029,13,0.28419,0.25847,1,20,0.21963,0.12649,0.72933
"protein processing involved in protein targeting to mitochondrion [GO:0006627]",5,0.9227,0.9916,1,0.077298,0.0084992,0.076641,0.1546,0.10609,0.64532,0,NA,NA,NA,5,0.1546,0.14249,0.75305
"2-oxoglutarate-dependent dioxygenase activity [GO:0016706]",8,0.43158,0.13129,0.68215,0.56842,0.86881,1,0.33044,0.61434,1,4,0.1936,0.17058,1,4,0.46729,0.90041,1
"proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]",14,0.53438,0.32967,0.97141,0.46562,0.67043,1,0.28736,0.40716,1,6,0.24881,0.23778,1,8,0.31628,0.64804,1
